DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
04/08/2018,0:00,BRONX,10452,40.84518,-73.91417,JEROME AVENUE,CROSS BRONX EXPRESSWAY,,0,0,0,0,0,0,0,0
04/08/2018,0:00,BRONX,10465,40.8266,-73.82084,RANDALL AVENUE,EDISON AVENUE,,0,0,0,0,0,0,0,0
04/08/2018,0:00,BROOKLYN,11206,40.71074,-73.94548,MANHATTAN AVENUE,MAUJER STREET,,0,0,0,0,0,0,0,0
04/08/2018,0:00,BROOKLYN,11207,40.667114,-73.899734,,,523       BLAKE AVENUE,0,0,0,0,0,0,0,0
04/08/2018,0:00,BROOKLYN,11221,40.685974,-73.92966,,,207       REID AVENUE,0,0,0,0,0,0,0,0
04/08/2018,0:00,BROOKLYN,11235,40.583717,-73.94584,,,2211      EMMONS AVENUE,0,0,0,0,0,0,0,0
04/08/2018,0:00,QUEENS,11414,40.659172,-73.839874,CROSS BAY BOULEVARD,159 AVENUE,,0,0,0,0,0,0,0,0
04/08/2018,0:00,,,40.71143,-73.72845,CROSS ISLAND PARKWAY,,,1,0,0,0,0,0,1,0
04/08/2018,0:10,MANHATTAN,10003,40.727814,-73.98581,,,79        SAINT MARKS PLACE,0,0,0,0,0,0,0,0
04/08/2018,0:20,BROOKLYN,11212,40.67006,-73.908905,,,101       OSBORN STREET,0,0,0,0,0,0,0,0
04/08/2018,0:20,QUEENS,11419,40.69166,-73.82971,116 STREET,95 AVENUE,,0,0,0,0,0,0,0,0
04/08/2018,0:20,,,40.709198,-73.991776,MANHATTAN BR LOWER,,,0,0,0,0,0,0,0,0
04/08/2018,0:25,QUEENS,11385,40.694107,-73.89737,COOPER AVENUE,CYPRESS AVENUE,,0,0,0,0,0,0,0,0
04/08/2018,0:30,MANHATTAN,10036,40.758427,-73.99264,9 AVENUE,WEST 42 STREET,,0,0,0,0,0,0,0,0
04/08/2018,0:40,BROOKLYN,11210,40.63402,-73.94754,,,3015      GLENWOOD ROAD,1,0,0,0,0,0,1,0
04/08/2018,0:47,,,40.757454,-73.95571,QUEENSBORO BRIDGE LOWER,,,0,0,0,0,0,0,0,0
04/08/2018,0:55,MANHATTAN,10128,40.77918,-73.9508,2 AVENUE,EAST 88 STREET,,0,0,0,0,0,0,0,0
04/08/2018,10:00,BRONX,10475,40.880035,-73.83166,,,1000      BAYCHESTER AVENUE,0,0,0,0,0,0,0,0
04/08/2018,10:00,BROOKLYN,11204,40.613758,-73.99663,,,1782      BAY RIDGE PARKWAY,0,0,0,0,0,0,0,0
04/08/2018,10:00,MANHATTAN,10034,40.863186,-73.92047,,,248       NAGLE AVENUE,0,0,0,0,0,0,0,0
04/08/2018,10:00,QUEENS,11372,40.74928,-73.88884,,,77-05     37 AVENUE,0,0,0,0,0,0,0,0
04/08/2018,10:10,BROOKLYN,11230,40.63017,-73.966225,,,1135      CONEY ISLAND AVENUE,0,0,0,0,0,0,0,0
04/08/2018,10:15,QUEENS,11411,40.691948,-73.730675,LINDEN BOULEVARD,231 STREET,,0,0,0,0,0,0,0,0
04/08/2018,10:17,BROOKLYN,11208,40.677532,-73.86622,,,1158      GLENMORE AVENUE,0,0,0,0,0,0,0,0
04/08/2018,10:20,,,40.658306,-73.95666,BEDFORD AVENUE,,,0,0,0,0,0,0,0,0
04/08/2018,10:25,,,40.75369,-73.74445,CROSS ISLAND PARKWAY,,,0,0,0,0,0,0,0,0
04/08/2018,10:30,BROOKLYN,11213,40.667976,-73.93399,UNION STREET,SCHENECTADY AVENUE,,0,0,0,0,0,0,0,0
04/08/2018,10:35,BROOKLYN,11223,40.60185,-73.97216,,,353       AVENUE S,0,0,0,0,0,0,0,0
04/08/2018,10:45,QUEENS,11429,40.712925,-73.741295,217 STREET,103 AVENUE,,0,0,0,0,0,0,0,0
04/08/2018,10:50,,,40.634224,-73.90651,AVENUE K,,,0,0,0,0,0,0,0,0
04/08/2018,11:00,BROOKLYN,11204,40.61854,-73.9861,,,1928      63 STREET,0,0,0,0,0,0,0,0
04/08/2018,11:00,QUEENS,11364,40.75706,-73.75535,CLOVERDALE BOULEVARD,HOXIE DRIVE,,0,0,0,0,0,0,0,0
04/08/2018,11:00,QUEENS,11368,40.747444,-73.85642,,,108-47    46 AVENUE,0,0,0,0,0,0,0,0
04/08/2018,11:00,,,40.785866,-73.950935,LEXINGTON AVENUE,,,0,0,0,0,0,0,0,0
04/08/2018,11:00,,,40.60393,-74.13438,,,5         FILLMORE AVENUE,0,0,0,0,0,0,0,0
04/08/2018,11:00,QUEENS,11361,40.759914,-73.77092,,,212-20    NORTHERN BOULEVARD,1,0,0,0,0,0,1,0
04/08/2018,11:04,BRONX,10456,40.8333,-73.89967,,,647       JEFFERSON PLACE,0,0,0,0,0,0,0,0
04/08/2018,11:15,STATEN ISLAND,10314,40.615364,-74.131,JEWETT AVENUE,CROWELL AVENUE,,0,0,0,0,0,0,0,0
04/08/2018,11:18,QUEENS,11104,40.745438,-73.923,43 AVENUE,41 STREET,,1,0,0,0,0,0,1,0
04/08/2018,11:20,BRONX,10461,40.855488,-73.83073,,,1870      PELHAM PARKWAY SOUTH,0,0,0,0,0,0,0,0
04/08/2018,11:30,QUEENS,11423,40.707767,-73.771545,,,186-09    HENDERSON AVENUE,0,0,0,0,0,0,0,0
04/08/2018,11:30,QUEENS,11433,40.695236,-73.78212,MERRICK BOULEVARD,110 ROAD,,0,0,0,0,0,0,0,0
04/08/2018,11:30,,,40.73817,-73.97761,EAST 25 STREET,,,0,0,0,0,0,0,0,0
04/08/2018,11:30,,,40.862732,-73.90333,WEST FORDHAM ROAD,,,1,0,0,0,0,0,1,0
04/08/2018,11:34,,,40.726185,-73.87022,62 ROAD,,,0,0,0,0,0,0,0,0
04/08/2018,11:40,BROOKLYN,11223,40.60741,-73.9659,QUENTIN ROAD,EAST 7 STREET,,1,0,0,0,1,0,0,0
04/08/2018,11:40,BRONX,10469,40.868008,-73.84073,ARNOW AVENUE,MICKLE AVENUE,,2,0,0,0,0,0,2,0
04/08/2018,11:45,QUEENS,11434,40.666386,-73.78487,,,153-70    SOUTH CONDUIT AVENUE,1,0,0,0,0,0,1,0
04/08/2018,11:45,,,40.73833,-73.800835,LONG ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0
04/08/2018,11:46,BRONX,10475,40.86879,-73.83168,BAYCHESTER AVENUE,BARTOW AVENUE,,0,0,0,0,0,0,0,0
04/08/2018,11:50,,,40.657,-73.91403,LOTT AVENUE,,,0,0,0,0,0,0,0,0
04/08/2018,12:00,BROOKLYN,11234,40.61799,-73.90296,,,2276      EAST 73 STREET,0,0,0,0,0,0,0,0
04/08/2018,12:00,,,40.723698,-74.00792,CANAL STREET,HUDSON STREET,,0,0,0,0,0,0,0,0
04/08/2018,12:10,BROOKLYN,11228,40.62677,-74.01501,FORT HAMILTON PARKWAY,73 STREET,,0,0,0,0,0,0,0,0